Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 18,874,368
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,680
  scalars                 : 12
  total                   : 88,080,972
Estimated FLOPs per token: 4.529883e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 15237ms | tok/sec: 17,204 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.714343 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,836 | mfu: 48.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.130410 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,277 | mfu: 47.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.693386 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,879 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.388203 | lrm: 1.00 | dt: 273ms | tok/sec: 959,211 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.142516 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,210 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.941805 | lrm: 1.00 | dt: 317ms | tok/sec: 827,504 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.775773 | lrm: 1.00 | dt: 285ms | tok/sec: 921,031 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.631491 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,731 | mfu: 46.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.509102 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,022 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.408874 | lrm: 1.00 | dt: 276ms | tok/sec: 950,540 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.316942 | lrm: 1.00 | dt: 263ms | tok/sec: 996,360 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.231998 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,373 | mfu: 46.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.160835 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,945 | mfu: 46.2% | epoch: 1 | remaining: 299s    
step 00050 (3.4%) | loss: 5.096777 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,076 | mfu: 45.8% | epoch: 1 | remaining: 290s    
step 00051 (3.5%) | loss: 5.073631 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,612 | mfu: 45.8% | epoch: 1 | remaining: 289s    
step 00052 (3.6%) | loss: 5.052842 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,046 | mfu: 46.1% | epoch: 1 | remaining: 289s    
step 00053 (3.7%) | loss: 5.031993 | lrm: 1.00 | dt: 262ms | tok/sec: 999,496 | mfu: 45.8% | epoch: 1 | remaining: 289s    
step 00054 (3.8%) | loss: 5.005722 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,219 | mfu: 46.0% | epoch: 1 | remaining: 288s    
step 00055 (3.8%) | loss: 4.986086 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,613 | mfu: 46.5% | epoch: 1 | remaining: 288s    
step 00056 (3.9%) | loss: 4.964665 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,560 | mfu: 46.2% | epoch: 1 | remaining: 288s    
step 00057 (4.0%) | loss: 4.945138 | lrm: 1.00 | dt: 265ms | tok/sec: 988,025 | mfu: 45.2% | epoch: 1 | remaining: 288s    
step 00058 (4.1%) | loss: 4.922680 | lrm: 1.00 | dt: 265ms | tok/sec: 990,081 | mfu: 45.3% | epoch: 1 | remaining: 287s    
step 00059 (4.2%) | loss: 4.900680 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,352 | mfu: 45.9% | epoch: 1 | remaining: 287s    
step 00060 (4.3%) | loss: 4.880189 | lrm: 1.00 | dt: 263ms | tok/sec: 996,543 | mfu: 45.6% | epoch: 1 | remaining: 287s    
step 00061 (4.4%) | loss: 4.855954 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,756 | mfu: 46.0% | epoch: 1 | remaining: 287s    
step 00062 (4.4%) | loss: 4.833712 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,617 | mfu: 45.9% | epoch: 1 | remaining: 286s    
step 00063 (4.5%) | loss: 4.808758 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,792 | mfu: 46.4% | epoch: 1 | remaining: 286s    
step 00064 (4.6%) | loss: 4.785033 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,000 | mfu: 46.0% | epoch: 1 | remaining: 286s    
step 00065 (4.7%) | loss: 4.762378 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,465 | mfu: 45.9% | epoch: 1 | remaining: 286s    
step 00066 (4.8%) | loss: 4.744941 | lrm: 1.00 | dt: 263ms | tok/sec: 996,360 | mfu: 45.6% | epoch: 1 | remaining: 285s    
step 00067 (4.9%) | loss: 4.723880 | lrm: 1.00 | dt: 261ms | tok/sec: 1,006,052 | mfu: 46.1% | epoch: 1 | remaining: 285s    
step 00068 (5.0%) | loss: 4.698785 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,591 | mfu: 45.9% | epoch: 1 | remaining: 285s    
step 00069 (5.1%) | loss: 4.671106 | lrm: 1.00 | dt: 264ms | tok/sec: 993,788 | mfu: 45.5% | epoch: 1 | remaining: 285s    
step 00070 (5.1%) | loss: 4.645127 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,779 | mfu: 45.9% | epoch: 1 | remaining: 284s    
step 00071 (5.2%) | loss: 4.624208 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,554 | mfu: 45.8% | epoch: 1 | remaining: 284s    
step 00072 (5.3%) | loss: 4.602755 | lrm: 1.00 | dt: 269ms | tok/sec: 974,121 | mfu: 44.6% | epoch: 1 | remaining: 284s    
step 00073 (5.4%) | loss: 4.580660 | lrm: 1.00 | dt: 263ms | tok/sec: 997,535 | mfu: 45.7% | epoch: 1 | remaining: 284s    
step 00074 (5.5%) | loss: 4.562114 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,186 | mfu: 45.9% | epoch: 1 | remaining: 283s    
step 00075 (5.6%) | loss: 4.540881 | lrm: 1.00 | dt: 266ms | tok/sec: 985,037 | mfu: 45.1% | epoch: 1 | remaining: 283s    
step 00076 (5.7%) | loss: 4.518924 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,183 | mfu: 45.9% | epoch: 1 | remaining: 283s    
step 00077 (5.8%) | loss: 4.497538 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,795 | mfu: 45.9% | epoch: 1 | remaining: 282s    
step 00078 (5.8%) | loss: 4.478614 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,636 | mfu: 46.1% | epoch: 1 | remaining: 282s    
step 00079 (5.9%) | loss: 4.459465 | lrm: 1.00 | dt: 263ms | tok/sec: 997,691 | mfu: 45.7% | epoch: 1 | remaining: 282s    
step 00080 (6.0%) | loss: 4.436698 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,438 | mfu: 45.9% | epoch: 1 | remaining: 282s    
step 00081 (6.1%) | loss: 4.414291 | lrm: 1.00 | dt: 266ms | tok/sec: 987,199 | mfu: 45.2% | epoch: 1 | remaining: 281s    
step 00082 (6.2%) | loss: 4.390836 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,727 | mfu: 45.9% | epoch: 1 | remaining: 281s    
step 00083 (6.3%) | loss: 4.371061 | lrm: 1.00 | dt: 262ms | tok/sec: 998,916 | mfu: 45.7% | epoch: 1 | remaining: 281s    
step 00084 (6.4%) | loss: 4.351851 | lrm: 1.00 | dt: 264ms | tok/sec: 993,993 | mfu: 45.5% | epoch: 1 | remaining: 281s    
step 00085 (6.5%) | loss: 4.332980 | lrm: 1.00 | dt: 265ms | tok/sec: 990,434 | mfu: 45.3% | epoch: 1 | remaining: 280s    
step 00086 (6.5%) | loss: 4.315881 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,890 | mfu: 45.9% | epoch: 1 | remaining: 280s    
step 00087 (6.6%) | loss: 4.297102 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,556 | mfu: 45.9% | epoch: 1 | remaining: 280s    
step 00088 (6.7%) | loss: 4.273902 | lrm: 1.00 | dt: 263ms | tok/sec: 997,735 | mfu: 45.7% | epoch: 1 | remaining: 280s    
step 00089 (6.8%) | loss: 4.255826 | lrm: 1.00 | dt: 262ms | tok/sec: 998,681 | mfu: 45.7% | epoch: 1 | remaining: 279s    
step 00090 (6.9%) | loss: 4.236580 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,229 | mfu: 45.8% | epoch: 1 | remaining: 279s    
step 00091 (7.0%) | loss: 4.219806 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,293 | mfu: 45.8% | epoch: 1 | remaining: 279s    
step 00092 (7.1%) | loss: 4.200125 | lrm: 1.00 | dt: 263ms | tok/sec: 997,300 | mfu: 45.7% | epoch: 1 | remaining: 279s    
step 00093 (7.2%) | loss: 4.181808 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,793 | mfu: 45.8% | epoch: 1 | remaining: 278s    
step 00094 (7.2%) | loss: 4.160344 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,852 | mfu: 46.0% | epoch: 1 | remaining: 278s    
step 00095 (7.3%) | loss: 4.132464 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,900 | mfu: 46.3% | epoch: 1 | remaining: 278s    
step 00096 (7.4%) | loss: 4.113559 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,275 | mfu: 46.0% | epoch: 1 | remaining: 277s    
step 00097 (7.5%) | loss: 4.101423 | lrm: 1.00 | dt: 263ms | tok/sec: 998,400 | mfu: 45.7% | epoch: 1 | remaining: 277s    
step 00098 (7.6%) | loss: 4.087853 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,754 | mfu: 45.9% | epoch: 1 | remaining: 277s    
step 00099 (7.7%) | loss: 4.071465 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,040 | mfu: 45.8% | epoch: 1 | remaining: 277s    
step 00100 (7.8%) | loss: 4.055428 | lrm: 1.00 | dt: 263ms | tok/sec: 996,968 | mfu: 45.6% | epoch: 1 | remaining: 276s    
step 00101 (7.9%) | loss: 4.036372 | lrm: 1.00 | dt: 264ms | tok/sec: 993,677 | mfu: 45.5% | epoch: 1 | remaining: 276s    
step 00102 (7.9%) | loss: 4.018991 | lrm: 1.00 | dt: 263ms | tok/sec: 996,429 | mfu: 45.6% | epoch: 1 | remaining: 276s    
step 00103 (8.0%) | loss: 4.005603 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,994 | mfu: 46.1% | epoch: 1 | remaining: 276s    
step 00104 (8.1%) | loss: 3.990402 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,590 | mfu: 45.8% | epoch: 1 | remaining: 275s    
step 00105 (8.2%) | loss: 3.975610 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,050 | mfu: 45.9% | epoch: 1 | remaining: 275s    
step 00106 (8.3%) | loss: 3.964382 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,086 | mfu: 46.0% | epoch: 1 | remaining: 275s    
step 00107 (8.4%) | loss: 3.953356 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,711 | mfu: 46.0% | epoch: 1 | remaining: 275s    
step 00108 (8.5%) | loss: 3.944669 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,399 | mfu: 45.8% | epoch: 1 | remaining: 274s    
step 00109 (8.6%) | loss: 3.933824 | lrm: 1.00 | dt: 262ms | tok/sec: 999,863 | mfu: 45.8% | epoch: 1 | remaining: 274s    
step 00110 (8.6%) | loss: 3.924821 | lrm: 1.00 | dt: 263ms | tok/sec: 996,850 | mfu: 45.6% | epoch: 1 | remaining: 274s    
step 00111 (8.7%) | loss: 3.912455 | lrm: 1.00 | dt: 263ms | tok/sec: 998,192 | mfu: 45.7% | epoch: 1 | remaining: 274s    
step 00112 (8.8%) | loss: 3.899159 | lrm: 1.00 | dt: 263ms | tok/sec: 995,601 | mfu: 45.6% | epoch: 1 | remaining: 273s    
step 00113 (8.9%) | loss: 3.892067 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,541 | mfu: 46.0% | epoch: 1 | remaining: 273s    
step 00114 (9.0%) | loss: 3.879783 | lrm: 1.00 | dt: 263ms | tok/sec: 996,865 | mfu: 45.6% | epoch: 1 | remaining: 273s    
step 00115 (9.1%) | loss: 3.867181 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,748 | mfu: 45.9% | epoch: 1 | remaining: 272s    
step 00116 (9.2%) | loss: 3.854281 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,003 | mfu: 46.0% | epoch: 1 | remaining: 272s    
step 00117 (9.3%) | loss: 3.841856 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,942 | mfu: 46.1% | epoch: 1 | remaining: 272s    
step 00118 (9.3%) | loss: 3.835261 | lrm: 1.00 | dt: 263ms | tok/sec: 996,573 | mfu: 45.6% | epoch: 1 | remaining: 272s    
step 00119 (9.4%) | loss: 3.829818 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,283 | mfu: 45.8% | epoch: 1 | remaining: 271s    
step 00120 (9.5%) | loss: 3.817606 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,173 | mfu: 46.0% | epoch: 1 | remaining: 271s    
step 00121 (9.6%) | loss: 3.810570 | lrm: 1.00 | dt: 264ms | tok/sec: 993,965 | mfu: 45.5% | epoch: 1 | remaining: 271s    
step 00122 (9.7%) | loss: 3.800501 | lrm: 1.00 | dt: 263ms | tok/sec: 997,417 | mfu: 45.7% | epoch: 1 | remaining: 271s    
step 00123 (9.8%) | loss: 3.788453 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,684 | mfu: 45.9% | epoch: 1 | remaining: 270s    
step 00124 (9.9%) | loss: 3.782576 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,684 | mfu: 46.5% | epoch: 1 | remaining: 270s    
step 00125 (10.0%) | loss: 3.777396 | lrm: 1.00 | dt: 264ms | tok/sec: 993,985 | mfu: 45.5% | epoch: 1 | remaining: 270s    
step 00126 (10.0%) | loss: 3.768993 | lrm: 1.00 | dt: 263ms | tok/sec: 997,170 | mfu: 45.7% | epoch: 1 | remaining: 270s    
step 00127 (10.1%) | loss: 3.763683 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,650 | mfu: 45.9% | epoch: 1 | remaining: 269s    
step 00128 (10.2%) | loss: 3.752009 | lrm: 1.00 | dt: 263ms | tok/sec: 996,278 | mfu: 45.6% | epoch: 1 | remaining: 269s    
step 00129 (10.3%) | loss: 3.746478 | lrm: 1.00 | dt: 263ms | tok/sec: 998,187 | mfu: 45.7% | epoch: 1 | remaining: 269s    
step 00130 (10.4%) | loss: 3.739856 | lrm: 1.00 | dt: 264ms | tok/sec: 992,759 | mfu: 45.4% | epoch: 1 | remaining: 269s    
step 00131 (10.5%) | loss: 3.727676 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,888 | mfu: 45.9% | epoch: 1 | remaining: 268s    
step 00132 (10.6%) | loss: 3.722779 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,991 | mfu: 46.1% | epoch: 1 | remaining: 268s    
step 00133 (10.7%) | loss: 3.717986 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,537 | mfu: 45.8% | epoch: 1 | remaining: 268s    
step 00134 (10.7%) | loss: 3.715222 | lrm: 1.00 | dt: 263ms | tok/sec: 996,710 | mfu: 45.6% | epoch: 1 | remaining: 268s    
step 00135 (10.8%) | loss: 3.710266 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,066 | mfu: 45.8% | epoch: 1 | remaining: 267s    
step 00136 (10.9%) | loss: 3.704776 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,005 | mfu: 46.0% | epoch: 1 | remaining: 267s    
step 00137 (11.0%) | loss: 3.699588 | lrm: 1.00 | dt: 264ms | tok/sec: 991,386 | mfu: 45.4% | epoch: 1 | remaining: 267s    
step 00138 (11.1%) | loss: 3.693821 | lrm: 1.00 | dt: 263ms | tok/sec: 996,068 | mfu: 45.6% | epoch: 1 | remaining: 266s    
step 00139 (11.2%) | loss: 3.690443 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,219 | mfu: 45.9% | epoch: 1 | remaining: 266s    
step 00140 (11.3%) | loss: 3.682586 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,487 | mfu: 45.8% | epoch: 1 | remaining: 266s    
step 00141 (11.4%) | loss: 3.675697 | lrm: 1.00 | dt: 263ms | tok/sec: 997,820 | mfu: 45.7% | epoch: 1 | remaining: 266s    
step 00142 (11.4%) | loss: 3.666684 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,999 | mfu: 45.9% | epoch: 1 | remaining: 265s    
step 00143 (11.5%) | loss: 3.666676 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,887 | mfu: 46.1% | epoch: 1 | remaining: 265s    
step 00144 (11.6%) | loss: 3.653629 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,929 | mfu: 46.0% | epoch: 1 | remaining: 265s    
step 00145 (11.7%) | loss: 3.648413 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,613 | mfu: 45.8% | epoch: 1 | remaining: 265s    
step 00146 (11.8%) | loss: 3.650287 | lrm: 1.00 | dt: 263ms | tok/sec: 996,973 | mfu: 45.6% | epoch: 1 | remaining: 264s    
step 00147 (11.9%) | loss: 3.641201 | lrm: 1.00 | dt: 264ms | tok/sec: 994,570 | mfu: 45.5% | epoch: 1 | remaining: 264s    
step 00148 (12.0%) | loss: 3.638653 | lrm: 1.00 | dt: 263ms | tok/sec: 994,889 | mfu: 45.5% | epoch: 1 | remaining: 264s    
step 00149 (12.1%) | loss: 3.631153 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,141 | mfu: 46.2% | epoch: 1 | remaining: 264s    
step 00150 (12.1%) | loss: 3.627489 | lrm: 1.00 | dt: 264ms | tok/sec: 991,614 | mfu: 45.4% | epoch: 1 | remaining: 263s    
step 00151 (12.2%) | loss: 3.626056 | lrm: 1.00 | dt: 262ms | tok/sec: 998,683 | mfu: 45.7% | epoch: 1 | remaining: 263s    
step 00152 (12.3%) | loss: 3.621082 | lrm: 1.00 | dt: 264ms | tok/sec: 991,170 | mfu: 45.4% | epoch: 1 | remaining: 263s    
step 00153 (12.4%) | loss: 3.618594 | lrm: 1.00 | dt: 263ms | tok/sec: 995,516 | mfu: 45.6% | epoch: 1 | remaining: 263s    
